year,series,region_or_material,value,unit,source,method
2011,osr,Rh,80.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_lower_bound
2011,rc,Rh,40.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_point
2011,eolrr,Rh,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,eolrr,Rh,60.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,osr,Pd,80.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_lower_bound
2011,rc,Pd,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_point
2011,eolrr,Pd,60.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,eolrr,Pd,70.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,osr,Ag,76.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Hilliard, USGS (2003)",transcribed_table_point
2011,osr,Ag,77.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Johnson et al. (2005)",transcribed_table_point
2011,osr,Ag,80.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_lower_bound
2011,rc,Ag,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Silver Institute (2009) and GFMS (2009b)",transcribed_table_point
2011,rc,Ag,30.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Johnson et al. (2005)",transcribed_table_point
2011,rc,Ag,32.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Hilliard, USGS (2003)",transcribed_table_point
2011,eolrr,Ag,58.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Johnson et al. (2005)",transcribed_table_point
2011,eolrr,Ag,97.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Hilliard, USGS (2003)",transcribed_table_point
2011,eolrr,Ag,30.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,eolrr,Ag,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,osr,Os,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from van Oss (2009)",transcribed_table_upper_bound
2011,rc,Os,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from van Oss (2009)",transcribed_table_upper_bound
2011,eolrr,Os,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from van Oss (2009)",transcribed_table_upper_bound
2011,osr,Ir,80.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_lower_bound
2011,rc,Ir,15.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,rc,Ir,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,eolrr,Ir,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,eolrr,Ir,30.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,osr,Pt,58.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Hilliard, USGS (2004)",transcribed_table_point
2011,osr,Pt,80.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_lower_bound
2011,rc,Pt,16.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Hilliard, USGS (2004)",transcribed_table_point
2011,rc,Pt,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_point
2011,eolrr,Pt,76.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Hilliard, USGS (2004)",transcribed_table_point
2011,eolrr,Pt,60.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,eolrr,Pt,70.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,osr,Au,75.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Amey, USGS (2006)",transcribed_table_point
2011,osr,Au,80.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_lower_bound
2011,rc,Au,29.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Amey, USGS (2006)",transcribed_table_point
2011,rc,Au,31.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from GFMS (2009a)",transcribed_table_point
2011,eolrr,Au,40.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from GFMS (2009a)",transcribed_table_point
2011,eolrr,Au,96.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from Amey, USGS (2006)",transcribed_table_point
2011,eolrr,Au,15.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,eolrr,Au,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,osr,Li,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,rc,Li,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,eolrr,Li,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,osr,Be,14.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Cunningham (2004c)",transcribed_table_point
2011,osr,Be,75.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Civic (2009)",transcribed_table_point
2011,rc,Be,10.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Cunningham (2004c)",transcribed_table_point
2011,rc,Be,25.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Civic (2009)",transcribed_table_point
2011,eolrr,Be,7.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Cunningham (2004c)",transcribed_table_point
2011,eolrr,Be,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Civic (2009)",transcribed_table_upper_bound
2011,eolrr,B,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,eolrr,Sc,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,osr,Ga,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,rc,Ga,25.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Buchert (2009)",transcribed_table_range_low
2011,rc,Ga,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Buchert (2009)",transcribed_table_range_high
2011,eolrr,Ga,1.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_upper_bound
2011,osr,Ge,40.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Jorgenson (2006)",transcribed_table_point
2011,osr,Ge,0.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_point
2011,rc,Ge,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Jorgenson (2006)",transcribed_table_point
2011,rc,Ge,35.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from working group expert opinion",transcribed_table_point
2011,rc,Ge,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Jorgenson (2006)",transcribed_table_point
2011,eolrr,Ge,76.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table F1, pp. 36-37; estimate from Jorgenson (2006)",transcribed_table_point
